MonthlyCharges,TotalCharges
29.85,29.85
56.95,1889.5
53.85,108.15
42.3,1840.75
70.7,151.65
99.65,820.5
89.1,1949.4
29.75,301.9
104.8,3046.05
56.15,3487.95
49.95,587.45
18.95,326.8
100.35,5681.1
103.7,5036.3
105.5,2686.05
113.25,7895.15
20.65,1022.95
106.7,7382.25
55.2,528.35
90.05,1862.9
39.65,39.65
19.8,202.25
20.15,20.15
59.9,3505.1
59.6,2970.3
55.3,1530.6
99.35,4749.15
30.2,30.2
90.25,6369.45
64.7,1093.1
96.35,6766.95
95.5,181.65
66.15,1874.45
20.2,20.2
45.25,45.25
99.9,7251.7
69.7,316.9
74.8,3548.3
106.35,3549.25
97.85,1105.4
49.55,475.7
69.2,4872.35
20.75,418.25
79.85,4861.45
76.2,981.45
84.5,3906.7
49.25,97
80.65,144.15
79.75,4217.8
64.15,4254.1
90.25,3838.75
99.1,1426.4
69.5,1752.65
80.65,633.3
74.85,4456.35
95.45,1752.55
99.65,6311.2
108.45,7076.35
24.95,894.3
107.5,7853.7
100.5,4707.1
89.9,5450.7
42.1,2962
54.4,957.1
94.4,857.25
75.3,244.1
78.9,3650.35
79.2,2497.2
20.15,930.9
79.85,887.35
49.05,49.05
20.4,1090.65
111.6,7099
24.25,1424.6
64.5,177.4
110.5,6139.5
55.65,2688.85
54.65,482.25
74.75,2111.3
25.9,1216.6
79.35,79.35
50.55,565.35
75.15,496.9
103.8,4327.5
20.15,973.35
99.3,918.75
62.15,2215.45
20.65,1057
19.95,927.1
33.75,1009.25
82.05,2570.2
74.7,74.7
84,5714.25
111.05,7107
100.9,7459.05
78.95,927.35
66.85,4748.7
21.05,113.85
21,1107.2
98.5,2514.5
20.2,20.2
19.45,19.45
95,3605.6
45.55,3027.25
110,7611.85
24.3,100.2
104.15,7303.05
30.15,927.65
94.35,3921.3
19.4,1363.25
96.75,5238.9
57.95,3042.25
91.65,3954.1
76.5,2868.15
54.6,3423.5
89.85,248.4
31.05,1126.35
100.25,1064.65
20.65,835.15
85.2,2151.6
99.8,5515.45
20.7,112.75
74.4,229.55
50.7,350.35
20.85,62.9
88.95,3027.65
78.05,2135.5
23.55,1723.95
19.75,19.75
56.45,3985.35
85.95,1215.65
58.6,1502.65
50.55,3260.1
35.45,35.45
44.35,81.25
25.7,1188.2
75,1778.5
20.2,1277.75
19.6,1170.55
70.45,70.45
88.05,6425.65
71.15,563.65
101.05,5971.25
84.3,5289.05
23.95,1756.2
99.05,6416.7
19.6,61.35
45.65,45.65
64.5,1929.95
69.5,1071.4
68.55,564.35
95,655.5
108.15,7930.55
86.1,5215.25
19.7,113.5
80.9,1152.8
84.15,1821.95
20.15,419.9
64.25,1024
25.7,251.6
56,764.55
82.4,1592.35
69.7,135.2
73.9,3958.25
20.6,233.9
19.9,1363.45
70.9,273
89.05,6254.45
45.3,2651.2
20.4,321.4
84.25,3539.25
104.4,242.8
81.95,1181.75
94.85,5000.2
20.55,654.55
24.7,780.2
74.45,1145.7
76.45,503.6
105.35,1559.25
20.55,1252
29.95,29.95
45.3,45.3
84.5,662.65
74.75,2453.3
79.25,1111.65
24.8,24.8
51.8,1023.85
30.4,82.15
19.65,244.8
56.6,2379.1
71.9,3173.35
91,531
19.75,1375.4
109.7,8129.3
19.3,1192.7
96.55,1901.65
24.1,587.4
111.35,6519.75
112.25,8041.65
20.75,20.75
101.9,2681.15
80.05,1112.3
105.55,7405.5
78.3,1033.95
68.85,2958.95
79.95,2684.85
55.45,4179.2
79.9,79.9
106.6,1934.45
102.45,6654.1
46,84.5
25.25,25.25
19.75,1124.2
20,540.05
86.8,1975.85
58.75,3437.45
45.25,3139.8
56.6,3789.2
84.2,5324.5
80,624.6
70.15,268.35
24.75,1836.9
20.2,20.2
50.05,179.35
19.35,219.35
50.6,1288.75
81.15,2545.75
55.2,55.2
89.9,2723.15
85.3,4107.25
108,5760.65
93.5,4747.5
84.6,84.6
20.25,1566.9
25.15,702
54.4,114.1
29.6,299.05
73.15,1305.95
95,1120.3
19.75,284.35
86.6,6350.5
109.2,7878.3
74.7,3187.65
94.4,6126.15
54.8,731.3
75.35,273.4
65,2531.8
74.4,1074.3
48.55,48.55
99,4298.45
93.5,4619.55
70.4,147.15
40.2,40.2
83.7,2633.3
19.85,193.05
59.55,4103.9
115.1,7008.15
114.35,5791.1
44.6,80.55
45,1228.65
41.15,132.2
106.9,1364.3
89.85,4925.35
49.85,1520.1
113.3,5032.25
88.1,5526.75
24.9,1195.25
105,2007.25
19.35,1099.6
24.25,1732.95
94.45,1511.2
59.75,3450.15
24.8,24.8
107.05,2172.05
70.6,70.6
85.4,401.1
105.05,5624.85
64.95,1339.8
55,771.95
50.55,244.75
55.15,322.9
51.2,498.25
25.4,25.4
54.45,3687.75
95.15,1779.95
76,1783.6
44.35,927.15
70,70
74.5,606.55
44.85,435.4
76.1,1712.7
61.2,2021.2
86.8,1940.8
89.35,567.8
19.7,220.35
20.25,20.25
76.05,5436.45
100.8,3437.5
74.55,3015.75
73.6,73.6
64.9,1509.8
95.45,396.1
90.4,356.65
60.3,4109
81.85,3141.7
24.8,1229.1
74.9,2303.35
75.55,2054.4
101.15,3741.85
78.75,3682.45
19.25,19.25
89.05,1886.25
115.05,4895.1
69.35,341.6
80.6,415.55
110.05,5686.4
19.9,1355.1
80.3,3058.65
93.15,2231.05
91.5,3236.35
82.45,4350.1
60,4264
44.8,44.8
48.6,422.3
60.05,4176.7
102.7,5138.1
82.9,880.05
70.35,139.05
35.9,973.65
82.65,1470.05
19.85,739.35
19.2,161.95
94.9,4422.95
73.85,511.25
80.6,155.8
75.8,5293.95
104.6,4759.85
88.15,6148.45
94.8,3565.65
103.4,6603
54.65,1830.1
85.75,6223.8
67.45,4508.65
20.5,1328.15
20.25,865
72.1,72.1
90.4,168.2
19.45,1303.5
44.95,996.85
97,6430.9
62.8,2278.75
44.6,681.4
89.15,574.35
84.8,371.9
41.9,840.1
80.25,846
54.1,889
105.25,6823.4
30.75,805.1
97.1,4016.75
20.2,83.75
98.8,3959.15
50.3,2878.55
20.55,945.7
75.9,1373.05
96.5,492.55
59.95,1406
19.15,19.15
98.65,6962.85
112.6,8126.65
20.6,690.25
85.65,181.5
35.75,830.8
99.75,5608.4
96.1,3646.8
85.1,3662.25
25.35,25.35
104.95,2566.5
89.65,5308.7
86.75,1410.25
86.2,3339.05
50.65,50.65
64.8,4732.35
90.85,90.85
108.1,5067.45
19.95,214.75
85.45,4874.7
54.75,2348.45
90.4,4063
44,44
95.6,2595.25
84.8,2309.55
44.3,89.3
19.9,367.55
95.05,3944.5
90.05,5965.95
109.9,3694.7
73.95,2524.45
54.6,1803.7
20.05,415.1
19.75,624.15
20.05,237.7
99.45,7007.6
55.9,3848.8
19.7,419.4
19.8,1468.75
95.4,5812
93.95,2861.45
19.9,19.9
19.6,19.6
81.35,233.7
24.45,1066.15
74.95,2149.05
87.35,4473
70.65,3545.05
73.25,1195.75
98.7,6858.9
24.8,1024.7
83.3,1845.9
75.3,75.3
24.3,132.25
69.85,515.45
100.55,2830.45
25.7,1110.5
40.7,449.3
51.65,2838.55
105.1,5376.4
85.95,858.6
75.6,1395.05
58.25,3975.7
19.4,1182.55
65.2,4784.45
53.45,119.5
45.4,518.9
19.75,899.45
44.45,1183.8
20.85,720.05
114.05,8468.2
89.85,3161.2
55.05,55.05
112.95,1882.55
101.55,5070.4
114.65,6049.5
64.8,1166.7
80.4,2937.65
105.9,6396.45
69.55,69.55
25.05,1270.25
94.75,759.55
105.5,7611.55
24.7,1642.75
69.75,1545.4
60.2,3582.4
81.05,2227.1
24.4,1417.9
104.15,2494.65
92.9,2768.35
80.8,2369.3
20,38
75.1,75.1
19.65,100.9
69.45,1614.05
101.15,385.9
99.8,673.25
116.05,8404.9
40.05,2799.75
102.1,6538.45
89.7,6588.95
19.9,868.1
55.95,734.35
20.65,330.6
55,55
70.05,564.4
53.6,1315.35
74.7,74.7
80.25,1861.5
76.05,2747.2
75.7,554.05
96.1,453.4
69,994.8
19.65,225.75
45.3,2145
81.45,1671.6
108.5,8003.8
83.55,680.05
84.5,6130.85
100.15,1415
88.6,6201.95
52.55, 
74.35,74.35
104.8,6597.25
59,114.15
74.4,139.4
64.05,3902.6
20.4,20.4
43.75,903.6
60.9,1785.65
19.8,1397.65
28.45,131.05
99.7,1238.45
116.25,3899.05
80.7,5676
65.2,4543.15
84.05,4326.8
79.45,5502.55
94.1,1782.4
78,851.8
94.2,167.5
80.5,502.85
19.85,19.85
94.3,1818.3
106.45,6300.15
74.35,334.8
105.45,5916.95
95,2852.4
104.8,4131.95
54.3,1546.3
70.05,302.6
75.2,1929.35
20.05,265.45
105.4,6989.45
51.6,1442
85.5,4713.4
75.6,1758.6
100.05,3480
91.25,4738.3
115.75,8399.15
94.7,5430.35
19.6,686.95
99.9,5706.3
21.1,490.65
20.05,1360.25
79.95,174.45
107.15,7379.8
85,85
89.55,1021.75
81.55,5029.05
58.45,1955.4
95.65,6744.2
80.6,4946.7
113.1,8248.5
58.95,601.6
19.55,19.55
86.05,834.1
45.55,597
78.95,2647.2
86.3,3266
105.05,6744.25
101.9,5265.5
19.75,311.6
110.3,7966.9
115.6,8220.4
19.35,1153.25
25.6,514.75
80.35,2596.15
68.75,3808
19.9,19.9
70.6,2708.2
70.2,760.05
49.3,49.3
107.25,6033.3
23.6,89.05
69.7,516.15
99.5,5861.75
64.3,445.95
70.85,4973.4
101.9,1667.25
73.5,5357.75
100.25,3527.6
40.4,422.6
19.25,1103.25
59.6,2754
64.9,697.25
100.3,5614.45
110.85,3204.4
81.05,4747.65
98.05,3082.1
70.5,597.9
94.55,3365.4
19.65,38.8
19,233.55
75.3,75.3
89.2,346.2
19,19
20,61.7
85.7,85.7
63.25,3342.45
20.1,85.1
99.15,7422.1
90.4,6668.05
111.9,8071.05
24.9,1174.8
83.5,5435
84.3,2438.6
45.6,45.6
61.65,713.75
54.85,916.15
65.55,237.2
90.35,4614.55
20.4,1414.45
74.55,1170.5
19.95,47.7
74.25,4859.25
108.65,4903.2
109.55,3608
86.65,6094.25
81,3084.9
47.85,2356.75
114.55,8306.05
105.25,6786.4
29.95,248.95
65,663.05
20.55,1357.1
109.8,4860.35
69.5,3418.2
48.85,631.4
25.25,186.3
102.85,6976.75
87.55,4884.85
78.55,522.95
34.55,362.6
92.05,5755.8
85.05,3355.65
19.7,406.95
20,137.6
95.15,2395.7
84.25,1968.1
104.6,6819.45
111.65,7943.45
90.05,4547.25
110.75,4687.9
55,2473.95
89.85,6562.9
20.35,176.3
54.55,2236.2
105.5,6985.65
99.45,3109.9
70.9,4911.35
104.55,5794.65
85.25,855.3
25.4,1620.2
56.15,2499.3
89.55,89.55
89.85,4287.2
25.25,394.85
94.55,1899.65
45.7,45.7
69.65,3442.15
89.5,161.5
70,1732.6
69.55,222.3
74.6,74.6
20.1,655.3
24.8,475.25
19.65,164.3
95.1,865.1
88.85,6132.7
78.8,3597.5
19.85,35.9
20.35,697.65
24.25,96.05
45.25,428.7
20.05,20.05
69.55,4459.15
19.5,1167.6
74.75,238.1
69.65,145.15
30.2,1453.1
45.65,191.05
57.8,4039.3
19.85,1039.45
25.55,1336.1
75.05,75.05
24.85,493.4
49.15,2550.9
110.35,7246.15
24.55,1203.95
34.7,62.25
107.95,313.6
81.4,3775.85
80,80
73.8,4616.05
64.4,195.65
103.75,4188.4
71.1,71.1
49.9,49.9
24.6,1266.4
49.25,91.1
30.1,1623.4
83.4,4149.45
20.45,20.45
75.25,2344.5
20.55,1013.05
75.1,270.7
20.05,417
20.65,20.65
85.15,6316.2
50.15,168.15
84.95,4018.05
66.5,4811.6
63.3,4189.7
83.15,2848.45
84.9,2516.2
20.55,33.6
49.25,208.45
79.85,2015.35
59.6,3739.8
104.65,2964
75.3,2263.4
80.1,2211.8
19.55,19.55
81,1683.7
24.7,1519
86,1164.05
25.4,1710.9
89.15,4245.55
58.25,4145.9
85.65,2664.3
50.35,1277.5
80.35,5589.3
20.2,34.75
20.55,1305.95
85.95,381.3
45.35,141.5
94.5,3105.55
21.25,204.55
26.25,605.9
80.85,356.1
91.7,2758.15
74.2,4805.65
87.25,3941.7
20.35,92.75
75.5,1901.05
79.05,5730.7
90.15,2423.4
50.6,1653.45
110.45,3327.05
101,7085.5
79.35,3344.1
89.85,6697.35
65,2879.9
80.45,137.1
98.55,1008.55
24.1,1551.6
44.05,202.15
110.8,7882.25
114.95,8196.4
75.05,202.9
19.25,855.1
90.05,5817
56.7,1652.95
80.15,5600.15
71.35,515.75
20.25, 
90.35,190.5
98.55,1842.8
19.7,1253.8
19.85,57.2
85.9,1269.55
90.35,6563.4
20.8,20.8
89.25,1907.85
70.3,208.85
66.85,4758.8
19.9,1292.6
35.8,363.15
78.85,1600.25
20.4,275.7
74.25,3089.1
64.8,1175.6
20.45,237.3
93.35,1444.65
19.9,19.9
88.9,454.15
95.8,3036.75
110.65,8065.65
40.3,92.5
82,184.65
107,6152.3
45.35,89.5
73.35,5154.5
44.8,220.45
54.75,1510.3
52.2,52.2
40.6,2588.95
110,4874.8
55.3,3983.6
60.85,2003.6
78.4,1832.4
69.65,4908.25
59.85,3590.2
76.9,5023
19.85,146.6
67.65,2339.3
45,298.7
64.2,143.65
81.7,2548.65
25.55,507.4
20,20
96.75,6125.4
75.65,5411.4
98.5,1058.25
23.8,903.8
64.2,3009.5
85.35,489.45
76.8,5468.45
55.2,1058.1
108.55,7616
101.3,4113.1
69.55,69.55
103.25,6017.65
104,7250.15
25.25,1108.2
30.4,938.65
20.05,94.15
84.6,2088.05
86.2,178.7
103.7,5656.75
111.2,2317.1
88,5986.45
106.35,6751.35
79.15,3566.6
103.1,4889.3
63.95,318.1
25.8,1563.95
89.45,1430.25
95.6,644.35
25.55,372.45
90.95,5453.4
44.85,1442.6
108.55,5610.7
25.05,963.95
74.1,5222.3
88.8,3340.55
78.85,292.8
93.25,5774.55
71.4,4487.3
44.4,44.4
79.2,2854.95
20.4,905.55
100,5509.3
105,7589.8
19.8,229.6
30.85,394.1
89.9,89.9
20.55,295.95
84.85,5459.2
33.15,444.75
92,6782.15
89.8,6510.45
115.8,8476.5
85.15,4461.85
24.85,62
64.35,352.65
20.5,1424.9
100.15,6413.65
86.05,6309.65
50.8,50.8
89,5898.6
64.8,4719.75
19.8,457.3
93.4,5822.3
73.65,1463.5
95.1,307.4
94.65,2104.55
80.6,319.15
39,2337.45
20.5,104.3
85.55,5084.65
26.4,121.25
98.2,7015.9
97.55,5598
19.95,1269.1
50.8,3027.4
99.7,4634.35
34.8,113.95
105.1,1582.75
60.15,3077
64.75,4039.5
54.65,1665.2
110.1,1043.3
19.3,504.2
83.9,497.55
111.25,7511.65
35.8,1782
20.05,20.05
84.35,609.65
110.5,2857.6
91.2,3247.55
100.55,6215.35
89.3,2823
103.85,5017.9
81.1,2619.25
24.6,24.6
81.2,4965.1
94.3,2679.7
116.1,8310.55
105.55,5682.25
98.9,1120.95
94.4,4914.9
19.5,27.55
98.3,923.5
93.85,1625.65
105.6,6068.65
81.35,5398.6
100.5,918.6
56.4,234.85
65.35,1231.85
19.95,170.9
111.25,7984.15
72.85,688.65
89,1288.3
106.1,7848.5
20.05,267
25.2,1798.9
73.55,73.55
75.4,1643.55
65.55,4807.45
80.7,2193
104.55,2239.4
24.15,1505.9
20.45,255.35
75.4,1189.4
79.7,4786.15
81.7,1820.9
76.3,2404.15
79.4,205.05
81.15,952.3
103.75,7039.45
86.45,2538.05
75.1,1212.85
80.6,2651.1
19.3,1304.8
84.6,360.1
33.6,435.45
83.25,308.05
80.85, 
79.05,434.5
108.05,7118.9
19.9,320.45
21.05,531.55
30.15,382.2
79.85,2001
65.5,4919.7
104.1,5645.8
74.4,215.8
20.5,77.6
91.35,2896.55
99.05,3395.8
20.5,759.35
44.95,85.15
75.6,535.55
55.1,1253.15
58.95,955.15
95.1,2162.6
44.7,44.7
25.45,1813.35
56.75,245.15
81.75,2028.8
86.1,2723.75
29.8,220.45
20.5,365.8
60.9,551.95
73.25,4054.2
45.7,45.7
100.3,832.35
19.25,112.3
20.85,60.65
77.35,5550.1
96,174.8
90.55,90.55
93.85,4733.1
70.1,4048.95
30.35,1359.7
75.95,4542.35
108.05,7532.15
69.9,69.9
75.25,888.65
103.75,6383.35
54.95,1916
19.5,413
19.6,808.95
47.85,1886.4
86.6,86.6
23.75,1679.25
80.6,2656.5
43.8,540.95
19.75,19.75
19.15,537.35
19.6,678.8
80.3,4513.65
24.35,1423.85
25.25,555.4
26.1,225.55
20,268.45
85.3,2917.5
70,2416.1
94.3,424.45
20.7,1492.1
70.3,132.4
95.35,660.9
75.5,1893.95
69.55,284.9
19.85,784.25
20,417.7
95.85,5016.25
90.1,1612.75
68.95,119.75
99.55,3204.65
20.75,485.2
50.15,160.85
58.65,4145.25
95.9,827.45
49.5,49.5
57.45,990.85
53.65,696.35
80.1,5585.4
24.4,1601.2
40.05,162.45
19.5,470.2
51.05,2066
54.35,1426.45
84.7,392.5
86.1,3861.45
70.35,2552.9
110,6668.35
100.6,819.4
94.9,4615.25
83.75,2070.6
88.3,273.75
69.75,3557.7
71.6,1957.1
92.1,729.95
23.65,1416.75
81.85,5924.4
25.1,1697.7
114.7,7849.85
49.15,649.4
80.9,4557.5
79.45,3013.05
90.45,1266.1
19.3,360.35
70.2,1046.5
69.75,2347.9
54.25,447.75
99.3,4209.95
74,3877.65
50.25,152.3
19.8,572.2
19.65,19.65
43.65,526.95
35.5,552.7
80.75,3208.65
39.5,210.75
97.1,3706.95
19.55,620.75
80,412.5
84.7,832.05
89.55,185.55
90.6,1943.2
20.05,505.9
112.4,8046.85
50.2,1815.3
62.25,612.95
55.7,795.15
90.05,2169.8
19.65,973.1
89.25,2210.2
99.05,4853.75
54,1055.9
69.75,144.55
49.05,91.1
56.75,1304.85
98.05,713
21.1,21.1
96.65,5580.8
24.5,1497.9
114.5,4527.45
79.2,4590.35
69.55,200.2
20.05,614.45
98.85,4564.9
25.75, 
80.95,171.15
19.6,1012.4
74.3,940.35
89.7,1047.7
87.65,2766.4
100.45,1622.45
74.75,1129.35
107.45,5680.9
75.35,2243.9
64.95,4523.25
100.45,7159.7
68.5,2839.95
80.55,80.55
81.25,580.1
90.4,2178.6
89.55,6038.55
55.7,259.4
24.8,324.15
20,417.65
56.15,168.15
105.2,5637.85
19.55,839.4
79.75,769.1
97.45,6253
24.25,1641.8
24.6,1678.05
50.15,2058.5
39.6,2424.5
94.4,387.2
89.85,6293.45
78.95,2839.65
98.85,3145.9
53.85,2200.7
24.25,914.4
89.45,4577.75
105.25,4997.5
59.5,4144.8
70.55,1493.55
82.5,4179.1
44.85,893.55
61.6,1611
49.05,593.05
105.65,4284.8
74.65,544.55
66.25,1533.8
19.4,529.8
86.05,3865.6
19.15,515.75
64.7,941
104.05,1133.65
19.25,48.35
81.95,2070.05
114.65,8333.95
20,1209.25
19.8,1396.25
65.15,723.35
19.65,228.65
88.95,1161.75
20.2,98.35
75.2,775.3
56.8,1074.65
35.55,35.55
75.5,2324.7
35.6,1072.6
60.25,170.5
95.15,196.9
96.65,1162.85
40.35,1677.85
18.85,18.85
54.85,370.4
64.3,3410.6
24.65,1138.8
76.1,5264.25
18.7,1005.7
97.95,5936.55
94.1,5475.9
80.4,224.05
95.1,2326.05
31.35,31.35
72.35,4991.5
89.75,1052.4
82.7,5831.2
19.9,510.8
53.8,283.95
51.55,1295.4
19.65,19.65
44.05,3011.65
114,8093.15
94.4,5610.25
100.4,3217.65
19.85,19.85
54.25,773.2
80,1029.35
109.9,669.45
79.2,3593.8
101.35,1553.95
94.3,3953.15
49.8,1971.15
60.05,1236.15
53.75,3196
93.45,4872.2
87.9,1500.5
60.15,60.15
61.05,3478.75
104.05,7413.55
99.25,3532
85.7,256.75
104.85,3887.25
69.15,2490.15
90.45,593.45
74.45,3510.3
50.45,765.45
60,1259.35
85.25,5538.35
19.45,340.85
20.75,844.45
78.9,1348.95
104.5,3778
49.4,611.65
94.25,4867.95
25,1505.05
25.55,467.85
74.9,74.9
70.15,194.2
69.4,571.45
80.25,80.25
93.15,5253.95
69,1149.65
66.35,740.8
69.55,521.35
20.2,1412.65
86,1532.45
80.3,250.05
20.4,1090.6
23.75,1446.8
90.55,2282.55
70.45,4300.45
65.75,1111.2
24.6,190.1
69.25,4447.75
75.9,143.35
45.85,45.85
49.95,810.2
24.65,1830.05
90.4,2820.65
100.85,4847.35
75.35,4729.3
87.2,4017.45
64.4,1398.6
78.3,2564.3
24.7,1685.9
105.85,5826.65
98.3,6066.55
76.95,228.4
19.45,270.2
96.15,1529.2
58.7,168.6
20.15,536.35
64.5,1888.45
28.5,629.35
45.3,45.3
19.4,289.3
90.45,2117.25
105.15,4730.9
83.15,2033.05
90.15,987.95
45.05,45.05
103.2,5744.35
75.8,75.8
19.45,19.45
79.3,523.15
88.8,4805.3
30.9,59.05
85.9,6110.75
34.2,1596.6
20.15,1046.2
95.25,4424.2
50.3,92.75
80.15,194.55
51.25,612.1
89.6,6127.6
95.2,6671.7
94.8,5264.3
80.25,303.7
76.1,4818.8
110.15,6448.05
115.55,7159.05
24.65,1574.5
53.6,2879.2
19.45,86.05
88.2,4159.45
101.15,6638.35
56.8,3112.05
99.4,7168.25
20.1,1326.25
60.7,2234.55
20.95,495.15
114.85,8317.95
19.25,679.8
62.8,62.8
105.5,7544
19.85,1188.25
89.5,676.7
74.1,74.1
107.5,3242.5
19.55,1240.15
68.8,4111.35
84.45,5899.85
75,632.95
84.5,5193.2
111.2,7530.8
44.75,270.95
80.6,5460.2
80.7,1614.2
75.6,402.5
57.6,1367.75
44.05,483.7
110.6,7962.2
58.2,3810.8
81,3533.6
19.7,1396.9
85.6,1345.55
59.55,1646.45
115.55,8127.6
75.55,2680.15
86.6,1281
85.2,1553.9
97.65,3207.55
45.1,2049.05
70.95,3629.2
109.55,5124.55
89.55,3474.45
20.9,202.3
19.95,147.5
24.6,86.35
66.7,579
19.45,19.45
94.8,3131.55
65.85,3928.3
19.95,187.75
24.65,1710.15
20.35,76.35
69.25,69.25
51.25,2151.6
99.5,5961.1
54.25,1221.55
19.4,1496.45
56.25,1292.2
25.15,25.15
23.95,1713.1
35.4,1748.9
25.2,25.2
45,96.45
75.35,1114.55
20.4,609.1
20.15,20.15
105,7133.25
56.05, 
54.7,169.45
20,141.6
73.05,4688.65
20.5,563.05
100.75,5985
87.25,1258.6
19.95,373.5
79.95,857.2
49.65,2553.35
65.65,4322.85
20.45,250.8
60.95,4549.05
20.35,1359.5
88.35,1639.3
19.5,178.85
75.2,633.85
111.45,5315.1
70.15,735.5
94.75,889.9
95.05,1290
78.45,330.05
70.2,237.95
92,6474.4
85.5,4421.95
41.05,2452.7
85.6,813.85
82.15,4904.85
84.4,4484.05
60.9,2033.85
20.25,538.2
79.2,79.2
95.3,2192.9
19.85,19.85
84.35,3858.05
19.85,854.8
70,347.4
82.3,5815.15
66.8,3970.4
44.6,3058.15
98.45,6145.2
70.7,129.2
24.95,1165.9
49.95,49.95
69.25,1554
102.5,4904.25
86.55,5632.55
24.3,1643.25
58.35,740.55
94.25,3217.55
68.75,4888.2
85.8,2440.25
20.1,620.55
20.35,20.35
110.8,6840.95
73,3001.2
100.05,6254.2
82.85,319.6
84.35,1938.05
19.55,294.5
19.95,58.3
99.8,442.85
35,553
66.25,546.45
23.3,797.1
76,76
25.3,1673.8
